partition,direction,objective,query_id,positive_ids,candidate_id,is_positive,forward_rank,forward_score,forward_route_id,query_applicability_score,query_applicability_tier,cycle_evaluated,reverse_rank,reverse_route_id,cycle_consistency_score
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_63e6da659221,False,1,0.9813829660415649,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,11.0,r2e-external-top20-v1,0.7619047619047619
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:66652,False,2,0.9647606611251831,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,15.0,r2e-current-top20-v1,0.6783333333333332
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:66648,False,3,0.9597739577293396,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,29.0,r2e-current-top20-v1,0.5641025641025641
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:54372,False,4,0.957446813583374,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,10.0,r2e-current-top20-v1,0.6678571428571428
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_5aa1e407cf39,False,5,0.9504654407501221,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,37.0,r2e-external-top20-v1,0.4836879432624113
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_a5374cc39ade,False,6,0.9448138475418091,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:28294,False,7,0.9438164830207825,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:31815,False,8,0.9438164830207825,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:34703,False,9,0.9438164830207825,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:54380,False,10,0.9345079660415649,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,7.0,r2e-current-top20-v1,0.5985294117647059
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_dd89a5b3606f,False,11,0.9325133562088013,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_8c6cae136e8b,False,12,0.9301861524581909,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_8d7f7dd54117,False,13,0.9301861524581909,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_c0d41a7707a3,False,14,0.9281914830207825,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:32543,False,15,0.9255319237709045,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:56632,False,16,0.9255319237709045,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:29507,False,17,0.9228723049163818,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,12.0,r2e-current-top20-v1,0.45370370370370366
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_af6c10b22452,False,18,0.9172207117080688,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_a78f2392f8c2,False,19,0.9128988981246948,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top3,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_accbb7c49b47,False,20,0.9122340679168701,e2r-external-top3-neighbor-v1,0.7994750079363799,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_63e6da659221,False,1,0.015555555000901222,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,11.0,r2e-external-top20-v1,0.7619047619047619
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:66652,False,2,0.015439197421073914,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,15.0,r2e-current-top20-v1,0.6783333333333332
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:66648,False,3,0.015203984454274178,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,29.0,r2e-current-top20-v1,0.5641025641025641
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:54372,False,4,0.01484848465770483,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,10.0,r2e-current-top20-v1,0.6678571428571428
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_0601074748a9,False,5,0.013501111418008804,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,27.0,r2e-external-top20-v1,0.5153153153153153
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:28294,False,6,0.013215940445661545,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_b1f6de0feffa,False,7,0.013147702440619469,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,3.0,r2e-external-top20-v1,0.7466063348416291
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_908734b433c3,False,8,0.013104500249028206,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:31815,False,9,0.013041125610470772,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_a5374cc39ade,False,10,0.012919520027935505,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:34703,False,11,0.012870939448475838,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:30951,False,12,0.012690282426774502,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,42.0,r2e-current-top20-v1,0.3557692307692308
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:32023,False,13,0.012622399255633354,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,25.0,r2e-current-top20-v1,0.3962732919254658
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:54044,False,14,0.012527776882052422,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,42.0,r2e-current-top20-v1,0.3349358974358974
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:54380,False,15,0.012464546598494053,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,7.0,r2e-current-top20-v1,0.5435294117647058
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:29507,False,16,0.012369455769658089,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,12.0,r2e-current-top20-v1,0.46153846153846156
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_6c7d3c1df7ff,False,17,0.012246646918356419,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,14.0,r2e-external-top20-v1,0.4328703703703703
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:32543,False,18,0.01224155817180872,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_012d56c064db,False,19,0.012226889841258526,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,24.0,r2e-external-top20-v1,0.351419878296146
development,enzyme_to_reaction,top10,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:56632,False,20,0.012093495577573776,e2r-external-top10-neural-rrf-v1,0.6954345238504509,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top20,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,MARTS_EXT_RXN_accbb7c49b47,False,1,0.013365384191274643,e2r-external-top20-dual-kernel-rrf-v1,0.6487741404666002,near_domain,True,,r2e-external-top20-v1,0.0
development,enzyme_to_reaction,top20,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:28294,False,2,0.013200054876506329,e2r-external-top20-dual-kernel-rrf-v1,0.6487741404666002,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top20,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:31815,False,3,0.013021389953792095,e2r-external-top20-dual-kernel-rrf-v1,0.6487741404666002,near_domain,True,,r2e-current-top20-v1,0.0
development,enzyme_to_reaction,top20,B5GTQ6,MARTS_EXT_RXN_877408d79e1b,RHEA:34703,False,4,0.012847630307078362,e2r-external-top20-dual-kernel-rrf-v1,0.6487741404666002,near_domain,True,,r2e-current-top20-v1,0.0
