seed,epoch,loss,reaction_loss,protein_loss,gate_value,hard_negative_k,freeze_base_reaction
20260723,1,2.350891590118408,2.3539700508117676,2.341656446456909,0.01798444241285324,0,False
20260723,10,1.475123405456543,1.3934736251831055,1.7200729846954346,0.01799299567937851,0,False
20260723,20,0.9853692054748535,0.830173134803772,1.4509572982788086,0.01801174320280552,0,False
20260723,30,0.6929986476898193,0.5133137702941895,1.232053279876709,0.01803201250731945,0,False
20260723,40,0.539612889289856,0.3551097512245178,1.093122124671936,0.018052151426672935,0,False
20260723,50,0.45820194482803345,0.28122058510780334,0.9891459941864014,0.018071718513965607,0,False
20260724,1,2.3972043991088867,2.4196667671203613,2.329817533493042,0.01798444241285324,0,False
20260724,10,1.5006135702133179,1.4228482246398926,1.7339096069335938,0.017996855080127716,0,False
20260724,20,0.965247631072998,0.825563907623291,1.3842989206314087,0.01801580935716629,0,False
20260724,30,0.6824267506599426,0.5074719190597534,1.2072912454605103,0.01803622581064701,0,False
20260724,40,0.5319156646728516,0.3493751287460327,1.0795373916625977,0.018056513741612434,0,False
20260724,50,0.44206762313842773,0.2679715156555176,0.964356005191803,0.01807628758251667,0,False
20260725,1,2.371058464050293,2.378746509552002,2.347994565963745,0.01798444241285324,0,False
20260725,10,1.478729486465454,1.3975800275802612,1.7221781015396118,0.0179907213896513,0,False
20260725,20,0.9717985391616821,0.8188532590866089,1.430634617805481,0.018009303137660027,0,False
20260725,30,0.6898332834243774,0.5138972401618958,1.2176414728164673,0.018029868602752686,0,False
20260725,40,0.5337140560150146,0.3500555455684662,1.084689736366272,0.01805059239268303,0,False
20260725,50,0.45316681265830994,0.27106738090515137,0.9994651079177856,0.018070867285132408,0,False
