query_id,direction,ranking_objective,model_directory,secondary_model_directory,auxiliary_score_directory,score_source,top1_candidate_id,top1_score,query_nearest_library_id,query_nearest_library_similarity,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,empirical_reliability_score,empirical_reliability_tier,empirical_reliability_status,reliability_recommendation,known_associations_masked,accepted_by_policy
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,B3Y522,0.45633506774902344,RHEA:31023,0.8307692307692307,0.3333333333333333,0.471404492855072,0.15998250304001457,0.5,0.7777777777777778,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,5,True
MARTS_EXT_RXN_012d56c064db,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,Q9F1V8,0.3758709728717804,RHEA:83287,0.6585103785103785,0.6666666666666666,3.771235942840576,0.21450474236062775,0.3333333333333333,0.4444444444444444,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_0216267ce7f4,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,Q675L4,0.5203399062156677,RHEA:25536,0.741609977324263,1.0,0.0,0.2694236680704457,1.0,1.0,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,7,True
MARTS_EXT_RXN_029b92fe95de,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,A0A1H0BVV7,0.47189250588417053,RHEA:14901,0.7066666666666667,0.6666666666666666,0.471404492855072,0.14819307999582548,0.39999999999999997,0.6666666666666666,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_0304c0087056,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,B6K412,0.48971596360206604,RHEA:31003,0.7962264150943397,0.6666666666666666,0.9428090453147888,0.11247011710848906,0.5,0.7777777777777778,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_033964ff02d8,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,M1VDX3,0.48314937949180603,RHEA:71987,0.735593220338983,0.6666666666666666,0.9428090453147888,0.04105444258029843,0.6666666666666666,0.8888888888888888,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_035143e0b4ac,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,A0A8F4PMV8,0.5500885844230652,RHEA:32151,0.6678024691358025,1.0,0.0,1.0313456547059547,0.6666666666666666,0.8888888888888888,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_0396c90bff0f,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,K9Y6Y9,0.7299344539642334,RHEA:32559,0.6691358024691358,1.0,0.0,0.026553443062812015,1.0,1.0,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_055064ae05a5,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,E8W6C7,0.4557342529296875,RHEA:71991,0.6808080808080809,1.0,0.0,0.10659234026303065,0.5,0.7777777777777778,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_0601074748a9,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,A0AA82WP13,0.5175960659980774,RHEA:54520,0.6683339554560159,0.6666666666666666,0.9428090453147888,0.43068547530742346,0.6666666666666666,0.8888888888888888,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_0718113ff706,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,A0A3M8F3X6,0.5956082940101624,RHEA:54040,0.6061310782241015,0.6666666666666666,0.9428090453147888,0.271047141914436,0.6666666666666666,0.8888888888888888,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,4,True
MARTS_EXT_RXN_07865104318f,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,C7QAD7,0.5002413392066956,RHEA:68712,0.6203463203463203,1.0,0.0,0.5641721340769739,0.3,0.6666666666666666,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_08a2e34a37c3,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,P0C565,0.6889165043830872,RHEA:11328,0.6928654970760234,1.0,0.0,1.1697331496029726,0.6666666666666666,0.8888888888888888,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_0aa1aeb0f8d8,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,BDI63091.1,0.6412686705589294,RHEA:29487,0.6262903635901348,0.6666666666666666,0.471404492855072,0.035587744929906295,1.0,1.0,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,5,True
MARTS_EXT_RXN_0b0f5e083f77,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,A0A1H7UDD2,0.436641126871109,RHEA:14901,0.7266666666666667,0.6666666666666666,1.4142135381698608,0.12642151833414306,0.13333333333333333,0.5555555555555556,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,3,True
MARTS_EXT_RXN_0bc621c08854,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,WDE20677.1,0.6027545928955078,RHEA:10940,0.736936936936937,1.0,0.0,0.9037208130175736,1.0,1.0,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_0d75732112ff,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,marts_E00597,0.7559097409248352,RHEA:19525,0.6984126984126984,1.0,0.0,0.9448454929827131,0.6666666666666666,0.8888888888888888,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,7,True
MARTS_EXT_RXN_0e08d025745c,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,B9T625,0.5045807957649231,RHEA:53624,0.6761904761904762,1.0,0.0,0.10563821992631423,0.6666666666666666,0.8888888888888888,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
MARTS_EXT_RXN_0e80c1eb7cd8,reaction_to_enzyme,top3,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,,,direct,A0A5N5W9J0,0.4672802686691284,RHEA:66832,0.7055383556931545,1.0,0.0,0.1551802368171588,0.6666666666666666,0.7777777777777778,,uncalibrated,not_applicable_known_associations_masked,manual_review_required,1,True
