protein_id,row,status,norm,seconds
A0A068CNX1,0,encoded,0.9999999403953552,0.6023271083831787
A0A069AMK2,1,encoded,1.0,0.4199705123901367
A0A075D5I4,2,encoded,1.0,0.4107499122619629
A0A075D657,3,encoded,0.9999999403953552,0.45363903045654297
A0A0A7LRQ7,4,encoded,1.0,0.7954211235046387
A0A0F5HNH9,5,encoded,0.9999998807907104,0.31835198402404785
A0A0F7G352,6,encoded,1.0,0.49915623664855957
A0A0H2ZIF3,7,encoded,0.9999999403953552,0.557431697845459
A0A0L8M630,8,encoded,1.0,0.5590920448303223
A0A124EH39,9,encoded,0.9999998807907104,0.6415889263153076
A0A1G9UQQ0,10,encoded,0.9999999403953552,1.0303311347961426
A0A1G9VRW7,11,encoded,0.9999999403953552,0.5403587818145752
A0A1V0QSF3,12,encoded,1.0,0.7288002967834473
A0A1V0QSF6,13,encoded,0.9999999403953552,0.6608319282531738
A0A1V0QSG6,14,encoded,1.0,0.6814544200897217
A0A1V0QSH2,15,encoded,0.9999999403953552,0.692387580871582
A0A2P2GK84,16,encoded,0.9999999403953552,0.6386871337890625
A0A318FEA4,17,encoded,1.0,0.4306807518005371
A0A3A6N9T6,18,encoded,1.0,0.5963797569274902
A0A3A6N9V6,19,encoded,1.0,0.5103416442871094
A0A3A6NE59,20,encoded,1.0,0.7654697895050049
A0A516F405,21,encoded,1.0,0.6449668407440186
A0A7E5WTY7,22,encoded,0.9999998807907104,0.3346421718597412
A0A7R7ZLE4,23,encoded,0.9999999403953552,0.3480703830718994
A0A8H7XQ49,24,encoded,1.0,0.4819450378417969
A0A8H8CFI5,25,encoded,0.9999999403953552,0.4764101505279541
A0A8X8M4T9,26,encoded,1.0,0.5002632141113281
A0A8X8M4W6,27,encoded,1.0000001192092896,0.7087934017181396
A0A8X8M501,28,encoded,1.0,0.6449618339538574
A0A8X8M505,29,encoded,0.9999999403953552,0.41174912452697754
A0R647,30,encoded,1.0,0.3155093193054199
A1E280,31,encoded,1.0000001192092896,0.6562378406524658
A1XLE2,32,encoded,1.0,0.4637773036956787
A4D0H5,33,encoded,0.9999999403953552,0.8801102638244629
A8CF74,34,encoded,1.0,0.9631524085998535
A9CEY6,35,encoded,1.0,0.5973386764526367
A9CEY7,36,encoded,1.0,0.48964953422546387
B5LAT8,37,encoded,1.0,0.4683830738067627
B5Z7I4,38,encoded,0.9999999403953552,0.32338857650756836
B8J0R0,39,encoded,1.0,0.41229891777038574
B8NHE0,40,encoded,0.9999998807907104,0.5051870346069336
B8NHE1,41,encoded,1.0,0.4773714542388916
C7YS44,42,encoded,1.0,0.9025003910064697
C9YHW3,43,encoded,1.0,0.49283289909362793
D0LZ73,44,encoded,1.0,0.21269869804382324
D2TV87,45,encoded,0.9999999403953552,0.5824501514434814
D3ZYW7,46,encoded,1.0,0.41433191299438477
D4N500,47,encoded,1.0,0.5351183414459229
D4N501,48,encoded,1.0,0.8341960906982422
D4N502,49,encoded,1.0,0.5019736289978027
D5E1T2,50,encoded,0.9999999403953552,0.34016919136047363
D5SK09,51,encoded,0.9999999403953552,0.43374156951904297
E0SKP1,52,encoded,0.9999999403953552,0.5516467094421387
E5Y377,53,encoded,1.0,0.4252965450286865
E5Y7I3,54,encoded,0.9999999403953552,0.4121551513671875
E6LDH5,55,encoded,0.9999999403953552,0.565995454788208
E9P162,56,encoded,1.0,0.6289098262786865
F8G0P2,57,encoded,1.0,0.5978367328643799
F8JK18,58,encoded,0.9999999403953552,0.47916460037231445
F8JSS1,59,encoded,1.0,0.6370763778686523
G1FNI6,60,encoded,1.0,0.4640505313873291
G9MAP1,61,encoded,1.0,0.6859524250030518
I1S104,62,encoded,0.9999998807907104,0.46231698989868164
I4DJ24,63,encoded,1.0,0.3354811668395996
I6WZK7,64,encoded,1.0,0.6226611137390137
I7HD01,65,encoded,0.9999999403953552,0.5387763977050781
J0MXJ0,66,encoded,1.0,0.2791306972503662
J0MXK0,67,encoded,1.0,0.40546488761901855
J1H0Z7,68,encoded,1.0,0.4494359493255615
O33125,69,encoded,1.0,0.331085205078125
O35943,70,encoded,0.9999999403953552,0.35332560539245605
O36015,71,encoded,0.9999999403953552,0.3979065418243408
O46119,72,encoded,0.9999999403953552,0.2998805046081543
O46414,73,encoded,1.0,0.308917760848999
O50171,74,encoded,0.9999999403953552,0.3182408809661865
O57383,75,encoded,0.9999999403953552,0.5443089008331299
O65100,76,encoded,1.0000001192092896,0.36388444900512695
O68926,77,encoded,0.9999999403953552,0.23486971855163574
O68935,78,encoded,1.0,0.26000332832336426
O70325,79,encoded,0.9999999403953552,0.5846219062805176
O74831,80,encoded,0.9999999403953552,0.23827672004699707
O87941,81,encoded,1.0,0.4770772457122803
P00435,82,encoded,1.0,0.6112961769104004
P02794,83,encoded,0.9999999403953552,0.29906201362609863
P02915,84,encoded,1.0,0.37345123291015625
P06746,85,encoded,1.0,0.5185792446136475
P06766,86,encoded,1.0,0.4344501495361328
P07109,87,encoded,0.9999999403953552,0.37044429779052734
P07203,88,encoded,1.0,0.5999598503112793
P07229,89,encoded,1.0,0.37309813499450684
P07798,90,encoded,0.9999999403953552,0.2884831428527832
P08267,91,encoded,1.0,0.37510132789611816
P09528,92,encoded,1.0,0.3035264015197754
P0A0R2,93,encoded,1.0,0.21785974502563477
P0A9N9,94,encoded,1.0,0.21577692031860352
P0AAF9,95,encoded,0.9999999403953552,0.3566429615020752
P0ABD4,96,encoded,0.9999999403953552,0.24589133262634277
P0DX40,97,encoded,1.0,0.3835716247558594
P0DX41,98,encoded,1.0000001192092896,0.3802022933959961
P0DX42,99,encoded,1.0,0.3244197368621826
P0DX43,100,encoded,1.0,0.6702122688293457
P13570,101,encoded,1.0,0.1250753402709961
P15031,102,encoded,1.0,0.37120652198791504
P17663,103,encoded,1.0,0.3010594844818115
P18685,104,encoded,1.0,0.2932469844818115
P19130,105,encoded,1.0,0.2992980480194092
P19132,106,encoded,1.0000001192092896,0.2999441623687744
P19975,107,encoded,0.9999999403953552,0.36328911781311035
P19976,108,encoded,1.0,0.35852813720703125
P22352,109,encoded,0.9999999403953552,0.5401625633239746
P22759,110,encoded,0.9999999403953552,0.22506117820739746
P24602,111,encoded,1.0,0.21824359893798828
P25319,112,encoded,0.9999999403953552,0.29286718368530273
P25320,113,encoded,1.0,0.290541410446167
P25699,114,encoded,1.0,0.35709071159362793
P25915,115,encoded,0.9999999403953552,0.28023314476013184
P29036,116,encoded,0.9999999403953552,0.3555765151977539
P29389,117,encoded,1.0,0.299072265625
P29390,118,encoded,1.0,0.3541891574859619
P32347,119,encoded,0.9999999403953552,0.46564197540283203
P32362,120,encoded,0.9999999403953552,0.4630699157714844
P36649,121,encoded,1.0,0.6243603229522705
P37261,122,encoded,1.0,0.31067562103271484
P38238,123,encoded,0.9999999403953552,0.41405439376831055
P38993,124,encoded,0.9999999403953552,0.7493441104888916
P39409,125,encoded,0.9999998807907104,0.3860769271850586
P41822,126,encoded,1.0,0.31918883323669434
P42269,127,encoded,1.0,0.5691416263580322
P42577,128,encoded,0.9999999403953552,0.5292751789093018
P42578,129,encoded,1.0,0.3605642318725586
P43314,130,encoded,0.9999998807907104,0.27475714683532715
P43315,131,encoded,1.0000001192092896,0.2738635540008545
P44743,132,encoded,1.0,0.3667795658111572
P45080,133,encoded,1.0,0.22374534606933594
P45092,134,encoded,0.9999999403953552,0.3563041687011719
P45430,135,encoded,1.0,0.27737998962402344
P49944,136,encoded,1.0,0.2856607437133789
P49946,137,encoded,0.9999999403953552,0.30043673515319824
P49947,138,encoded,0.9999999403953552,0.2949826717376709
P49948,139,encoded,1.0,0.2927725315093994
P54950,140,encoded,1.0,0.5495262145996094
P56998,141,encoded,0.9999999403953552,0.21817326545715332
P70697,142,encoded,1.0,0.47329258918762207
P77930,143,encoded,1.0,0.2260758876800537
P80145,144,encoded,1.0,0.3327922821044922
P85835,145,encoded,1.0,0.30327725410461426
P85836,146,encoded,0.9999999403953552,0.29884862899780273
P85837,147,encoded,1.0,0.3096160888671875
P85838,148,encoded,1.0,0.31780576705932617
P85839,149,encoded,1.0,0.2969367504119873
P9WEG8,150,encoded,1.0,0.5350675582885742
P9WMK6,151,encoded,1.0,0.32572150230407715
P9WMK7,152,encoded,0.9999998807907104,0.3237783908843994
P9WNE4,153,encoded,1.0,0.30098986625671387
P9WPQ8,154,encoded,1.0,0.2879059314727783
Q05B87,155,encoded,0.9999999403953552,0.331223726272583
Q07540,156,encoded,0.9999999403953552,0.30211353302001953
Q0CPG8,157,encoded,0.9999998807907104,0.5391855239868164
Q0K844,158,encoded,0.9999999403953552,0.6093597412109375
Q16595,159,encoded,1.0,0.3278636932373047
Q18CP3,160,encoded,1.0,0.4232313632965088
Q1PX48,161,encoded,0.9999999403953552,0.8855750560760498
Q1QYU6,162,encoded,0.9999999403953552,0.6339735984802246
Q1QYU7,163,encoded,1.0,0.56235671043396
Q22031,164,encoded,0.9999999403953552,0.44054627418518066
Q26061,165,encoded,1.0,0.3042001724243164
Q27958,166,encoded,1.0,0.43961310386657715
Q2FWC5,167,encoded,1.0,0.5035305023193359
Q2G5J3,168,encoded,1.0,0.4963243007659912
Q2G5J4,169,encoded,0.9999999403953552,0.5645449161529541
Q2MHN2,170,encoded,1.0,0.309659481048584
Q2RVS1,171,encoded,1.0,0.21810650825500488
