query_id,direction,ranking_objective,rank,canonical_slots,uniprot_rescue_slots,known_associations_masked,terpene_type,tps_class,substrate_name,product_name,architecture_contract_status,allowed_candidate_architectures,requested_uniprot_rescue_slots,model_directory,empirical_reliability_status,candidate_id,score,selection_source,ensemble_score_mean,ensemble_score_std,ensemble_rank_mean,ensemble_rank_std,ensemble_topk_vote_fraction,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_score_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,ensemble_boundary_margin_z,canonical_pool_rank,candidate_source,entry_name,reviewed,protein_name,gene_names,organism_name,organism_id,length,pfam_combination,domain_family,protein_existence,evidence_quality_tier,cluster_id,cluster_size,selection_reason,pfam_architecture,family_compatibility,uniprot_registry_query_fraction,strict_double_cold_status,strict_double_cold_hit_retention_fraction,strict_double_cold_quota_hit_probability,strict_double_cold_baseline_hits,strict_double_cold_quota_hits,uniprot_pool_rank
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top3,1,3,0,5,tri,2,squalene,hop-22(29)-ene,reference_supported,osc_full,0,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,not_applicable_controlled_candidate_expansion,B3Y522,0.45633506774902344,canonical_primary,0.45633506774902344,0.008022152818739414,1.6666666269302368,0.471404492855072,1.0,0.3333333333333333,0.471404492855072,0.008022152818739414,0.15998225933601892,0.5,0.7777777777777778,0.10227125523859729,1.0,current,,,,,,,,,,,current_curated,,,,unsupported_architecture,not_applicable_non_uniprot,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11,
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top3,2,3,0,5,tri,2,squalene,hop-22(29)-ene,reference_supported,osc_full,0,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,not_applicable_controlled_candidate_expansion,B0Y565,0.43682029843330383,canonical_primary,0.43682029843330383,0.03505261614918709,2.0,1.4142135381698608,0.6666666666666666,0.3333333333333333,0.471404492855072,0.008022152818739414,0.15998225933601892,0.5,0.7777777777777778,0.10227125523859729,2.0,marts_registered,,,,,,,,,,,marts_registered,,,,unsupported_architecture,not_applicable_non_uniprot,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11,
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top3,3,3,0,5,tri,2,squalene,hop-22(29)-ene,reference_supported,osc_full,0,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,not_applicable_controlled_candidate_expansion,Q24FB1,0.40820446610450745,canonical_primary,0.40820446610450745,0.023379335179924965,3.3333332538604736,1.247219204902649,0.6666666666666666,0.3333333333333333,0.471404492855072,0.008022152818739414,0.15998225933601892,0.5,0.7777777777777778,0.10227125523859729,3.0,current,,,,,,,,,,,current_curated,,,,unsupported_architecture,not_applicable_non_uniprot,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11,
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top10,1,9,1,5,tri,2,squalene,hop-22(29)-ene,reference_supported,osc_full,1,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,not_applicable_controlled_candidate_expansion,B3Y522,0.45633506774902344,canonical_primary,0.45633506774902344,0.008022152818739414,1.6666666269302368,0.471404492855072,1.0,0.3333333333333333,0.471404492855072,0.008022152818739414,0.15998225933601892,0.43556443556443564,0.7777777777777778,0.004683120288806947,1.0,current,,,,,,,,,,,current_curated,,,,unsupported_architecture,not_applicable_non_uniprot,0.0,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28,
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top10,2,9,1,5,tri,2,squalene,hop-22(29)-ene,reference_supported,osc_full,1,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,not_applicable_controlled_candidate_expansion,B0Y565,0.43682029843330383,canonical_primary,0.43682029843330383,0.03505261614918709,2.0,1.4142135381698608,1.0,0.3333333333333333,0.471404492855072,0.008022152818739414,0.15998225933601892,0.43556443556443564,0.7777777777777778,0.004683120288806947,2.0,marts_registered,,,,,,,,,,,marts_registered,,,,unsupported_architecture,not_applicable_non_uniprot,0.0,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28,
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top10,3,9,1,5,tri,2,squalene,hop-22(29)-ene,reference_supported,osc_full,1,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,not_applicable_controlled_candidate_expansion,Q24FB1,0.40820446610450745,canonical_primary,0.40820446610450745,0.023379335179924965,3.3333332538604736,1.247219204902649,1.0,0.3333333333333333,0.471404492855072,0.008022152818739414,0.15998225933601892,0.43556443556443564,0.7777777777777778,0.004683120288806947,3.0,current,,,,,,,,,,,current_curated,,,,unsupported_architecture,not_applicable_non_uniprot,0.0,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28,
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top10,4,9,1,5,tri,2,squalene,hop-22(29)-ene,reference_supported,osc_full,1,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,not_applicable_controlled_candidate_expansion,I1RL12,0.39572933316230774,canonical_primary,0.39572933316230774,0.022599488496780396,3.3333332538604736,0.471404492855072,1.0,0.3333333333333333,0.471404492855072,0.008022152818739414,0.15998225933601892,0.43556443556443564,0.7777777777777778,0.004683120288806947,4.0,current,,,,,,,,,,,current_curated,,,,unsupported_architecture,not_applicable_non_uniprot,0.0,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28,
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top10,5,9,1,5,tri,2,squalene,hop-22(29)-ene,reference_supported,osc_full,1,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,not_applicable_controlled_candidate_expansion,P77735,0.3573390543460846,canonical_primary,0.3573390543460846,0.017947785556316376,7.666666507720947,3.0912060737609863,0.6666666666666666,0.3333333333333333,0.471404492855072,0.008022152818739414,0.15998225933601892,0.43556443556443564,0.7777777777777778,0.004683120288806947,5.0,current,,,,,,,,,,,current_curated,,,,unsupported_architecture,not_applicable_non_uniprot,0.0,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28,
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top10,6,9,1,5,tri,2,squalene,hop-22(29)-ene,reference_supported,osc_full,1,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,not_applicable_controlled_candidate_expansion,P37294,0.3492617607116699,canonical_primary,0.3492617607116699,0.037233464419841766,8.666666984558105,4.496912479400635,0.6666666666666666,0.3333333333333333,0.471404492855072,0.008022152818739414,0.15998225933601892,0.43556443556443564,0.7777777777777778,0.004683120288806947,6.0,marts_registered,,,,,,,,,,,marts_registered,,,,unsupported_architecture,not_applicable_non_uniprot,0.0,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28,
MARTS_EXT_RXN_000c8b710696,reaction_to_enzyme,top10,7,9,1,5,tri,2,squalene,hop-22(29)-ene,reference_supported,osc_full,1,/home/s241850073/igem2026/results/terpene_production_models/marts_adapted_drfp_pu_r2e075,not_applicable_controlled_candidate_expansion,P37273,0.33611226081848145,canonical_primary,0.33611226081848145,0.014594665728509426,9.666666984558105,1.2472190856933594,0.3333333333333333,0.3333333333333333,0.471404492855072,0.008022152818739414,0.15998225933601892,0.43556443556443564,0.7777777777777778,0.004683120288806947,7.0,marts_registered,,,,,,,,,,,marts_registered,,,,unsupported_architecture,not_applicable_non_uniprot,0.0,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28,
